frame,id,x_m,y_m;Frame;ID;x_m;y_m
46,6,0.68,0.83;50;15;4.18;2.78
46,39,4.77,0.53;50;12;2.58;2.75
46,41,3.24,3.93;51;1;3.82;2.55
46,42,3.61,2.21;51;2;5.27;3.02
46,43,0.19,2.39;51;3;4.19;4.23
47,1,3.59,2.94;51;4;5.24;2.18
47,2,4.29,4.79;51;7;3.21;2.86
47,3,1.06,3.65;51;8;3.26;2.43
47,4,3.61,3.60;51;9;0.33;1.70
47,5,3.82,1.45;51;10;4.69;2.66
47,11,3.00,1.80;51;15;4.18;2.78
47,27,1.20,2.13;51;12;2.58;2.75
47,15,3.38,0.74;52;1;3.82;2.55
47,6,0.67,0.83;52;2;5.27;3.02
47,39,4.77,0.53;52;3;4.19;4.23
47,41,3.25,3.93;52;4;5.24;2.18
47,42,3.60,2.21;52;7;3.21;2.86
47,43,0.18,2.37;52;8;3.26;2.43
48,1,3.60,2.94;52;9;0.33;1.70
48,2,4.29,4.79;52;10;4.69;2.66
48,3,1.06,3.65;52;15;4.18;2.78
48,4,3.61,3.59;52;12;2.57;2.75
48,5,3.82,1.45;53;1;3.82;2.55
48,11,2.99,1.79;53;2;5.27;3.02
48,27,1.28,2.12;53;3;4.19;4.23
48,15,3.38,0.74;53;4;5.24;2.18
48,6,0.68,0.83;53;7;3.21;2.86
48,39,4.77,0.53;53;8;3.26;2.43
48,41,3.25,3.92;53;9;0.33;1.69
48,42,3.60,2.21;53;10;4.69;2.66
48,43,0.34,2.36;53;15;4.18;2.78
49,1,3.60,2.94;53;12;2.57;2.75
49,2,4.29,4.79;54;1;3.82;2.55
49,3,1.07,3.65;54;2;5.27;3.02
49,4,3.61,3.59;54;3;4.19;4.23
49,5,3.82,1.45;54;4;5.24;2.18
49,11,2.99,1.79;54;7;3.21;2.86
49,27,1.35,2.11;54;8;3.26;2.43
49,15,3.38,0.74;54;9;0.33;1.69
49,6,0.68,0.83;54;10;4.69;2.66
49,39,4.78,0.53;54;15;4.18;2.78
49,41,3.25,3.93;54;12;2.57;2.74
49,42,3.60,2.21;55;1;3.82;2.55
49,43,0.43,2.35;55;2;5.26;3.02
50,1,3.60,2.94;55;3;4.19;4.23
50,2,4.29,4.80;55;4;5.25;2.18
50,3,1.08,3.66;55;7;3.21;2.86
50,4,3.62,3.59;55;8;3.26;2.43
50,5,3.82,1.46;55;9;0.33;1.69
50,11,3.00,1.79;55;10;4.69;2.65
50,27,1.37,2.11;55;15;4.19;2.78
50,15,3.38,0.74;55;12;2.57;2.74
